Artist,Album,# Items,Total Time
Ashanti,I Got It (feat. Rick Ross) - Single,1,4:07
Artist,Album,# Items,Total Time
Ashe,Ashlyn,14,47:04:00
Asher Roth,RetroHash,10,40:42:00
Asking Alexandria,Lp5 DLX,19,1:08:57
Atmosphere,The Day Before Halloween,10,28:12:00
Atmosphere,The Family Sign,14,51:13:00
Atmosphere,Fishing Blues,18,1:08:11
Atmosphere,God Loves Ugly,18,1:09:03
Atmosphere,Mi Vida Local,12,49:24:00
Atmosphere,Overcast!,18,1:12:47
Atmosphere,Seven's Travels,22,1:14:11
Atmosphere,Southsiders,17,1:05:45
Atmosphere,"When Life Gives You Lemons, You Paint That Sh…",15,54:50:00
Atmosphere,Whenever,12,42:59:00
Atmosphere,You Can't Imagine How Much Fun We're Having,13,50:55:00
Audio Bullys,Ego War,14,1:00:49
Audio Bullys,Generation,14,48:22:00
Audio Bullys,Higher Than the Eiffel,14,55:43:00
Audioslave,Audioslave,14,1:05:24
Avenged Sevenfold,Diamonds in the Rough,16,1:16:53
Avicii,The Days - Single,1,4:38
Avicii,Feeling Good - Single,1,3:49
Avicii,For a Better Day (KSHMR Remix) - Single,1,4:43
Avicii,For a Better Day (Remixes) - Single,3,15:50
Avicii,Stories,16,1:02:15
Avicii,True (Avicii By Avicii),9,50:34:00
Avicii,Waiting for Love - Single,1,3:49
Avicii,"Waiting For Love (Remixes, Pt. II) - Single",3,11:18
Avicii,Waiting For Love (Remixes) - EP,6,26:33:00
Avril Lavigne,Avril Lavigne,13,46:14:00
Avril Lavigne,The Best Damn Thing (Limited Edition),17,57:57:00
Avril Lavigne,Fly - Single,1,3:07
Avril Lavigne,Goodbye Lullaby (Deluxe Edition),19,1:09:24
Avril Lavigne,Let Go,13,48:41:00
Artist,Album,# Items,Total Time
Avril Lavigne,Under My Skin (Bonus Track Version),13,43:27:00
Axel Wikner,Hold On - Single,1,3:14
Azealia Banks,Chasing Time - Single,1,3:31
Azealia Banks,Fantasea,19,52:18:00
Azealia Banks,1991 - EP,4,16:08
B-Legit,Best Friend (feat. J Boog) - Single,1,4:31
B-Legit,Block Movement,16,1:00:07
B-Legit,Hard 2 B-Legit,14,54:24:00
B-Legit,The Hemp Museum,15,57:59:00
B-Legit,Hempin' Ain't Easy,18,1:13:34
B-Legit,Tryin' to Get a Buck,13,53:26:00
B-Legit,What We Been Doin,12,43:42:00
B-Real,Los Meros,15,56:37:00
B-Real,Prohibition,8,29:50:00
B-Real,Smoke N Mirrors,15,1:00:11
B.G.,Checkmate,18,1:13:56
B.G.,Chopper City,14,56:36:00
B.G.,Chopper City in the Ghetto,16,1:07:07
B.G.,Heart Of Tha Streetz (Vol. II),18,1:06:37
B.G.,"The Heart of tha Streetz, Vol. 1",17,1:04:13
B.G.,"It's All on U, Vol. 1",13,1:00:03
B.G.,"It's All on U, Vol. 2",12,54:08:00
B.G.,Life After Cash Money,18,1:16:33
B.G.,Life In The Concrete Jungle,17,1:06:14
B.G.,Livin' Legend,35,2:24:05
B.G.,Too Hood 2 Be Hollywood,21,1:17:50
B.G.,True Story,8,34:08:00
B.G.,We Got This,16,1:05:25
B.o.B,All I Want - Single,1,3:40
B.o.B,John Doe (feat. Priscilla) - Single,1,3:32
B.o.B,John Doe (feat. Sevyn Streeter) - Single,1,3:38
B.o.B,Not For Long (feat. Trey Songz) - Single,1,3:36
B.o.B,Psycadelik Thoughtz,11,40:33:00
Artist,Album,# Items,Total Time
B.o.B,Underground Luxury,15,57:30:00
Baby,Birdman,22,1:17:36
Baby Bash,Ronnie Rey All Day,15,1:02:13
Baby Bash,Tha Smokin' Nephew,17,1:10:34
Babyface,Grown & Sexy,13,52:45:00
Babyface,Return of the Tender Lover,9,42:50:00
Babyface Ray,Unfuckwitable,7,18:50
Bad Bunny,X 100PRE,15,53:57:00
Bad Bunny,YHLQMDLG,20,1:05:58
Bad Meets Evil,Hell: The Sequel (Deluxe Edition),11,46:13:00
Bad Meets Evil,Nuttin' to Do / Scary Movies,9,34:46:00
Bad Meets Evil,Scary Movies,3,11:22
Bailey Bryan,Fresh Start,11,27:33:00
Bailey Bryan,Fresh Start - Single,1,3:00
Bankroll Fresh,"Hot Boy (Remix) [feat. Lil Wayne, Juvenile & Tur…",1,5:10
Bankroll Mafia,"Bankrolls On Deck (feat. T.I., Young Thug, Shad…",1,5:07
Banks,III,13,47:08:00
Bastille,Bad Blood,14,48:22:00
Bastille,Doom Days,11,40:06:00
Bastille,Of The Night - Single,1,3:34
bbno$,my oh my - EP,5,13:40
The Beaches,Future Lovers - EP,5,15:21
Beanie Sigel,The B.Coming,15,1:05:45
Beanie Sigel,The Broad Street Bully,12,40:06:00
Beanie Sigel,The Reason,14,1:00:48
