Artist,Album,# Items,Total Time
The Diplomats,Diplomatic Ties,9,33:13:00
The Diplomats,Diplomatic Immunity,27,1:47:22
Dipset,Have My Money - Single,1,3:29
DJ Cam,Miami Vice,14,33:04:00
DJ Green Lantern,"Invasion, Part 1: Shady Times",28,1:18:12
DJ Green Lantern,"Invasion, Part 2: Conspiracy Theory",25,1:18:10
DJ Green Lantern,"Invasion, Part 3: Countdown to Armageddon",22,57:11:00
DJ Irene,Club Series,39,58:52:00
Artist,Album,# Items,Total Time
DJ Irene,Hard House Diva,40,1:03:08
DJ Irene,"Progressive Dance Mix, Vol. 1",21,46:51:00
DJ Jazzy Jeff & The Fresh Prince,And In This Corner...,12,56:10:00
DJ Jazzy Jeff & The Fresh Prince,Code Red,13,57:51:00
DJ Jazzy Jeff & The Fresh Prince,"He's The DJ, I'm The Rapper",17,1:12:43
DJ Jazzy Jeff & The Fresh Prince,Homebase,12,53:11:00
DJ Jazzy Jeff & The Fresh Prince,Rock The House,10,46:11:00
DJ Khaled,For Free (feat. Drake) - Single,1,3:04
DJ Khaled,"Hold You Down (feat. Chris Brown, August Alsin…",1,4:53
DJ Khaled,"How Many Times (feat. Chris Brown, Lil Wayne,…",1,4:24
DJ Khaled,I Changed a Lot (Deluxe Version),16,1:02:35
DJ Khaled,KHALED KHALED,14,53:50:00
DJ Khaled,Kiss the Ring [Deluxe Edition],16,1:02:29
DJ Khaled,Listennn... The Album,17,1:10:26
DJ Khaled,Major Key,14,58:02:00
DJ Khaled,Suffering From Success (Deluxe Edition),16,1:00:22
DJ Khaled,"They Dont Love You No More (feat. Jay-Z, Meek…",1,4:10
DJ Khaled,Victory (Deluxe Edition),15,59:58:00
DJ Khaled,We Global (Deluxe Edition),17,1:09:26
DJ Khaled,We The Best,11,45:49:00
DJ Khaled,We The Best Forever (Bonus Digital Booklet Ver…,12,53:48:00
DJ Kid,Tony Montana - Single,1,2:14
DJ Mustard,Burn Rubber - Single,1,4:12
DJ Mustard,Don't Hurt Me (feat. Nicki Minaj & Jeremih) - Single,1,3:13
DJ Mustard,Down On Me (feat. Ty Dolla $ign & 2 Chainz) - S…,1,4:09
DJ Mustard,The Ghetto,11,36:57:00
DJ Mustard,In My Room (Remixes) - EP,4,14:58
DJ Mustard,"Vato (feat. Jeezy, Que & YG) - Single",1,4:19
DJ Mustard,Whole Lotta Lovin' (feat. Travis Scott) - Single,1,4:59
DJ Mustard,10 Summers,12,39:25:00
DJ Pooh,Bad Newz Travels Fast,15,54:43:00
DJ Quik,Balance & Options,20,1:10:51
Dj Quik,The Book Of David,16,1:09:12
Artist,Album,# Items,Total Time
DJ Quik,The Midnight Life,16,59:24:00
Dj Quik,Quik Is The Name,13,43:33:00
DJ Quik,Rhythm-al-ism,16,1:10:09
DJ Quik,Rosecrans,12,58:55:00
Dj Quik,Safe & Sound,17,1:07:39
Dj Quik,Trauma,14,44:46:00
DJ Quik,Under Tha Influence,15,1:06:12
Dj Quik,Way 2 Fonky,12,42:57:00
DJ Snake,Broken Summer (feat. Max Frost) - Single,1,3:04
DJ Snake,Carte Blanche,1,3:35
DJ Snake,Carte Blanche (Deluxe),31,1:53:24
DJ Snake,Encore,16,59:52:00
DJ Snake,"Enzo (feat. Offset, 21 Savage & Gucci Mane) - S…",1,4:08
DJ Snake,"Enzo (Malaa Remix) [feat. Offset, 21 Savage &…",1,4:24
DJ Snake,"Jeffree's, Vol.7",1,3:18
DJ Snake,Loco Contigo (Cedric Gervais Remix) - Single,1,4:40
DJ Snake,Loco Contigo (feat. Tyga) - Single,1,3:05
DJ Snake,"Loco Contigo (Remix) [feat. Nicky Jam, Natti Nat…",1,5:42
DJ Snake,Magenta Riddim - Single,1,3:14
DJ Snake,Propaganda,11,41:07:00
DJ Snake,Selfish Love - EP,4,10:54
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)…",1,3:33
DJ Snake,Trust Nobody - Single,1,3:31
DJ Snake,Trust Nobody (Habstrakt Remix) - Single,1,2:48
DJ Snake,Trust Nobody (Malaa Remix) - Single,1,4:35
DJ Snake,Trust Nobody (Valentino Khan Remix) - Single,1,3:20
DMX,Exodus,13,39:48:00
DMX,The Great Depression,17,1:13:06
DMX,Redemption of the Beast,16,56:22:00
DNCE,DNCE (Jumbo Edition),20,1:12:08
DNCE,Swaay - EP,4,14:20
Tha Dogg Pound,Dogg Chit,14,1:02:19
Doja Cat,Amala (Deluxe Version),16,56:53:00
Artist,Album,# Items,Total Time
Doja Cat,Bottom Bitch - Single,1,3:19
Doja Cat,Candy - Single,1,3:11
Doja Cat,Freak - Single,1,4:44
Doja Cat,Go To Town - Single,1,3:38
Doja Cat,Hot Pink,12,39:50:00
Doja Cat,Juicy - Single,1,3:22
Doja Cat,Kiss Me More (feat. SZA) - Single,1,3:28
Doja Cat,Mooo! - Single,1,4:48
Doja Cat,Planet Her (Deluxe),19,59:28:00
Doja Cat,Purrr! - EP,5,18:03
Doja Cat,Roll With Us - Single,1,3:01
Doja Cat,Rules - Single,1,3:08
Doja Cat,Say So (feat. Nicki Minaj) - Single,1,3:26
Doja Cat,Say So (Friend Within Remix) - Single,1,2:53
Doja Cat,Say So (Snakehips Remix) - Single,1,3:21
Doja Cat,Say So / Like That (Mashup) - Single,1,3:33
Doja Cat,So High - Single,1,3:22
Doja Cat,Streets (Silhouette Remix) - Single,1,4:03
Doja Cat,Tia Tamera (feat. Rico Nasty) - Single,1,3:33
Don Diablo,Eyes Closed - Single,1,3:17
Don Diablo,Got Me Thinkin' - Single,1,5:10
Don Toliver,Donny Womack,13,38:46:00
Don Toliver,Heaven Or Hell,12,36:31:00
The Doors,The Doors: 40th Anniversary Mixes,14,51:59:00
The Doors,L.A. Woman (40th Anniversary) [Remastered],21,1:52:13
The Doors,Morrison Hotel,11,37:17:00
The Doors,The Soft Parade (40th Anniversary Mixes),15,54:48:00
The Doors,Strange Days (40th Anniversary Mixes),12,40:34:00
The Doors,Waiting for the Sun (40th Anniversary Mixes),16,1:04:41
The Dove Shack,Reality Has Got Me Tied Up,16,1:08:08
The Dove Shack,This Is The Shack,17,1:00:50
Dr. Dre,The Chronic,16,1:02:59
Dr. Dre,Compton,16,1:01:44
Artist,Album,# Items,Total Time
Dr. Dre,Ten Times Outa 1 - Single,1,3:12
Dr. Dre,The Wash (Soundtrack from the Motion Picture),17,1:08:48
Dr. Dre,2001,22,1:08:14
Drake,Back to Back - Single,1,2:51
Drake,The Best In The World Pack - Single,2,7:05
Drake,Care Package,17,1:13:45
Drake,Certified Lover Boy,21,1:26:13
Drake,Charged Up - Single,1,3:10
Drake,Comeback Season,25,1:22:14
Drake,Dark Lane Demo Tapes,14,49:55:00
Drake,Days In The East - Single,1,5:45
Drake,Forever - Single,1,5:58
Drake,If You're Reading This It's Too Late,17,1:08:50
Drake,More Life,22,1:21:39
Drake,Nothing Was the Same (Deluxe),16,1:12:03
Drake,Pop Style (feat. The Throne) - Single,1,3:29
Drake,Room for Improvement,23,1:07:32
Drake,Scary Hours - Single,2,7:35
Drake,Scary Hours 2 - Single,3,12:34
Drake,Scorpion,25,1:30:26
Drake,Signs - Single,1,3:54
Drake,Sneakin' (feat. 21 Savage) - Single,1,4:11
Drake,So Far Gone,18,1:13:58
Drake,So Far Gone - EP,7,33:53:00
Drake,Summer Sixteen - Single,1,3:22
Drake,Take Care (Deluxe Version),20,1:26:59
Drake,Thank Me Later,16,1:09:06
Drake,"Two Birds, One Stone - Single",1,3:59
Drake,Views,20,1:21:15
Drake,What a Time To Be Alive,11,40:36:00
Drake,0 To 100 / The Catch Up - Single,1,4:35
Drama,Gangsta Grillz: The Album,21,1:15:04
Dru Down,Can you feel me,17,1:13:40
Artist,Album,# Items,Total Time
Dru Down,Chronicles Of A Pimp,17,1:02:16
Dru Down,Explicit Game,15,1:11:08
Dru Down,Fools From The Street,13,58:47:00
Dru Down,Gangsta Pimpin',15,1:01:52
Dru Down,Pimpin Phernelia,19,1:05:34
Dru Down,Welcome 2 Dru's World,19,52:09:00
Dua Lipa,Future Nostalgia (The Moonlight Edition),19,1:01:49
Dua Lipa,Last Dance - Single,1,3:49
Duck Sauce,Quack,1,4:58
Jermaine Dupri,Instructions,20,53:22:00
E-40,The Ball Street Journal,22,1:31:51
E-40,The Block Brochure-Welcome To The Soil Vol. 1,18,1:15:12
E-40,The Block Brochure-Welcome To The Soil Vol. 2,18,1:11:40
E-40,The Block Brochure-Welcome To The Soil Vol. 3,20,1:21:39
E-40,The Block Brochure: Welcome To The Soil Vol. 4,15,55:47:00
E-40,The Block Brochure: Welcome To The Soil Vol. 5,15,57:03:00
E-40,The Block Brochure: Welcome To The Soil Vol. 6,15,56:41:00
E-40,Breakin' News,18,1:15:36
E-40,Charlie Hustle: The Blueprint of a Self-Made Milli…,17,1:14:15
E-40,Choices (Yup) - Single,1,4:33
E-40,The Element of Surprise (Orange),13,58:09:00
E-40,The Element of Surprise (Yellow),11,50:33:00
E-40,Federal,14,58:18:00
E-40,The Gift Of Gab,12,37:20:00
E-40,Grit & Grind,18,1:09:54
E-40,In A Major Way,16,58:41:00
E-40,Loyalty and Betrayal,16,1:05:46
E-40,The Mail Man,8,39:11:00
E-40,My Ghetto Report Card,20,1:14:59
E-40,Practice Makes Paper,26,1:26:46
E-40,"Red Cup (feat. T-Pain, Kid Ink & B.o.B) - Single",1,4:13
E-40,Revenue Retrievin-Night Shift,19,1:15:54
E-40,Revenue Retrievin: Day Shift,18,1:09:22
Artist,Album,# Items,Total Time
E-40,Revenue Retrievin' Graveyard Shift,20,1:17:32
E-40,Revenue Retrievin' Overtime Shift,20,1:16:52
E-40,Episode (feat. T.I. & Chris Brown) - Single,1,3:53
E-40,Sharp On All 4 Corners: Corner 1,14,54:56:00
E-40,Sharp On All 4 Corners: Corner 2,14,53:11:00
E-40,Tha Hall of Game,16,1:08:44
E-A-Ski,Bitch U Gets Nathan,8,34:28:00
E-A-Ski,The Black Album,6,22:46
E-A-Ski,Blast If I Have To,7,20:46
E-A-Ski,Breakin' Them Off Somethin',4,14:10
E-A-Ski,Earthquake,16,59:03:00
E-A-Ski,Past and Present,16,57:40:00
E-A-Ski,Ratchet Music - Single,1,4:08
E-A-Ski,The Resume,13,50:22:00
E-A-Ski,Showdown,5,12:48
E-A-Ski,1 Step Ahead of Yall,9,37:06:00
Easy Life,Daydreams - Single,1,2:40
easy life,life's a beach,12,34:25:00
Eazy-E,Eazy-Duz-It,14,1:01:58
Eazy-E,Str8 Off Tha Streetz Of Muthaphukkin Compton,14,53:10:00
Eazy-E,5150 Home 4 Tha Sick - EP,5,18:11
Ed Sheeran,Afterglow - Single,1,3:05
Ed Sheeran,Antisocial (Ghali Remix) - Single,1,3:46
Ed Sheeran,+ (Deluxe Version),16,1:05:43
Ed Sheeran,÷ (Deluxe),16,59:34:00
Ed Sheeran,Don't (feat. Rick Ross) (Remix) - Single,1,4:19
Ed Sheeran,South of the Border (feat. Camila Cabello & Car…,1,3:08
Ed Sheeran,South of the Border (feat. Camila Cabello & Car…,1,3:16
Ed Sheeran,South of the Border (feat. Camila Cabello & Car…,1,2:53
Ed Sheeran,South of the Border (feat. Camila Cabello) [Acou…,1,3:15
Ed Sheeran,X (Deluxe Edition),16,1:05:56
Eiffel 65,Europop,14,1:05:25
Ellie Goulding,Army - EP,3,10:45
Artist,Album,# Items,Total Time
Ellie Goulding,Brightest Blue,1,3:37
Ellie Goulding,Delirium (Deluxe),25,1:30:45
Ellie Goulding,First Time - Single,1,3:14
Ellie Goulding,Goodness Gracious (Chainsmokers Extended R…,1,4:19
Ellie Goulding,Halcyon Days (Deluxe Edition),28,1:46:18
Ellie Goulding,Hate Me - Single,1,3:06
Ellie Goulding,New Love (feat. Diplo & Mark Ronson) - Single,1,3:11
Ellie Goulding,New Love (feat. Diplo & Mark Ronson) [Armand…,1,3:41
Ellie Goulding,Power - Single,1,3:12
Ellie Goulding,President - Single,1,3:15
Ellie Goulding,Slow Grenade (Syn Cole Remix) - Single,1,3:09
Elohim,Elohim,15,43:17:00
Elohim,She Talks Too Much / Xanax,2,7:02
Elvis Presley,Blue Hawaii,14,32:27:00
Elvis Presley,Elvis,12,30:32:00
Elvis Presley,Elvis Is Back!,12,32:18:00
Elvis Presley,Elvis Presley,12,28:51:00
Elvis Presley,Elvis' Christmas Album,12,30:42:00
Elvis Presley,"From Elvis in Memphis, Disc 1",16,50:27:00
Elvis Presley,"From Elvis Presley Boulevard, Memphis, Tennes…",10,35:12:00
Elvis Presley,G.I. Blues,12,28:14:00
Elvis Presley,Loving You,13,29:11:00
Elvis Presley,Moody Blue,10,31:30:00
Elvis Presley,Pot Luck,12,28:57:00
Elvis Presley,Promised Land,10,28:51:00
Elvis Presley,Roustabout,11,20:39
Elvis Presley,Something for Everybody,12,27:04:00
Eminem,The Eminem Show,20,1:17:32
Eminem,Encore (Shady Collectors Edition),23,1:29:21
Eminem,Guts Over Fear (feat. Sia) - Single,1,5:01
Eminem,Infinite: Reissue 2003,23,1:16:55
Eminem,Kamikaze,13,45:55:00
Eminem,Killer (Remix) - Single,1,3:57
Artist,Album,# Items,Total Time
Eminem,Killshot - Single,1,4:14
Eminem,The Marshall Mathers LP,18,1:12:17
Eminem,The Marshall Mathers LP 2 (Deluxe),21,1:42:31
Eminem,Music To Be Murdered By,20,1:04:34
Eminem,Music To Be Murdered By - Side B (Deluxe Edition),36,1:57:09
Eminem,Recovery (Deluxe Edition),19,1:26:31
Eminem,Relapse (Deluxe Version),24,1:35:24
Eminem,Relapse: Refill,29,1:59:07
Eminem,Revival,19,1:17:46
Eminem,Slim Shady EP,10,36:45:00
Eminem,The Slim Shady LP,20,59:48:00
Eminem,Southpaw (Music from and Inspired By the Motio…,14,56:46:00
Eminem,Straight From the Lab,7,34:08:00
Eminem,Straight From The Vault EP,9,30:34:00
Eminem,8 Mile,16,1:08:18
Empire Of The Sun,"Celebrate (Remixes, Vol. II) - Single",3,15:31
Empire Of The Sun,"Celebrate (Remixes), Vol. I - Single",3,13:33
Empire Of The Sun,Walking On A Dream - Single,1,3:18
Eric Bellinger feat. Problem,I Don't Want Her (feat. Problem) - Single,1,3:14
Eric Prydz,Liberate - Single,1,5:14
Eric Prydz,Opus - Single,1,9:03
Eric Prydz,Proper Education - Single,1,3:19
Eric Prydz,Tether (Eric Prydz Vs. CHVRCHES) [Radio Edit]…,1,3:07
Erykah Badu,"New Amerykah, Pt. 1 (4th World War)",12,1:02:09
Estelle,American Boy (feat. Kanye West) - Single,1,4:45
Estelle,Conqueror - Single,1,4:28
Estelle,True Romance,12,49:09:00
Ester Dean,Drop It Low - Single,1,3:12
Ester Dean,Get My Dough - Single,1,2:54
Ester Dean,Twerk'n 4 Birk'n - Single,1,3:13
Ester Dean,Twerkin 4 Birkin (feat. Juicy J) - Single,1,3:23
Evanescence,Together Again - Single,1,3:19
Eve,Eve-Olution,16,51:39:00
Artist,Album,# Items,Total Time
Eve,Scorpion,16,57:27:00
Fabolous,Friday Night Freestyles,15,46:37:00
Fabolous,Friday On Elm Street,12,43:45:00
Fabolous,From Nothin' to Somethin' (Bonus Track Version),16,1:06:38
Fabolous,Ghetto Fabolous,16,1:02:52
Fabolous,Loso's Way (Bonus Track Version),18,1:11:59
Fabolous,Loso's Way: Rise to Power,23,1:26:38
Fabolous,"More Street Dreams, Part 2: The Mixtape",14,43:48:00
Fabolous,Real Talk,18,1:15:00
Fabolous,Return to Elm Street - EP,5,18:02
Fabolous,The Soul Tape,14,50:59:00
Fabolous,The Soul Tape 3,12,44:23:00
Fabolous,Street Dreams,20,1:19:36
Fabolous,Summertime Shootout,12,52:51:00
Fabolous,Summertime Shootout 2,13,49:01:00
Fabolous,Summertime Shootout 3: Coldest Summer Ever,16,1:05:43
Fabolous,There Is No Competition,25,1:10:48
Fabolous,There Is No Competition 2 (The Funeral Service),20,1:13:13
Fabolous,There is No Competition 2: The Grieving Music…,10,29:42:00
Fabolous,There Is No Competition: Death Comes In 3's,15,46:59:00
Fabolous,Trappy New Years,6,22:22
Fabolous,The Young OG Project,11,49:10:00
Fall Out Boy,Alone Together (The Remixes) - Single,2,7:02
Fall Out Boy,American Beauty / American Psycho,11,39:07:00
Fall Out Boy,Centuries - Single,1,3:51
Fall Out Boy,Centuries (Gazzo Remix) - Single,1,4:20
Fall Out Boy,Folie à Deux (Deluxe Edition),14,53:46:00
Fall Out Boy,From Under the Cork Tree,13,42:59:00
Fall Out Boy,Infinity On High (Deluxe Edition),19,1:04:46
Fall Out Boy,Irresistible (feat. Demi Lovato) - Single,1,3:26
Fall Out Boy,Make America Psycho Again,11,41:10:00
Fall Out Boy,Save Rock and Roll,11,41:41:00
Fall Out Boy,Take This to Your Grave,12,39:27:00
Artist,Album,# Items,Total Time
Far East Movement,Animal,13,52:50:00
Far East Movement,Bang It To The Curb - Single,1,3:06
Far East Movement,Dirty Bass (Deluxe Edition),2,6:31
Far East Movement,Dirty Bass (Special Edition),21,1:19:23
Far East Movement,Folk Music,21,1:05:47
Far East Movement,Free Wired,10,36:10:00
Far East Movement,Identity,11,39:30:00
Far East Movement,If I Was You (OMG) (feat. Snoop Dogg) - Single,1,3:27
Far East Movement,The Illest (Feat Riff Raff) - Single,1,3:40
Far East Movement,"The Illest (feat. Riff Raff, Schoolboy Q & B.O.B )(…",1,4:37
Far East Movement,The Illest (feat. ScHoolboy Q) - Single,1,3:40
Far East Movement,The Illest (Remixes) (feat. Riff Raff) - EP,5,23:54
Far East Movement,KTown Riot - EP,6,21:02
Far East Movement,Like A G6 (feat. The Cataracs & Dev) - Single,1,3:38
Far East Movement,Rocketeer (feat. Ryan Tedder) - Single,1,3:38
Far East Movement,Turn Up The Love (feat. Cover Drive) - Single,1,3:16
FAT JOE,ALL OR NOTHING,16,1:03:18
Fat Joe,"Another Day (feat. Rick Ross, French Montana…",1,3:37
Fat Joe,The Crack Era,40,1:19:26
Fat Joe,The Darkside vol. 1,13,50:04:00
Fat Joe,The Darkside Vol. 2,10,34:57:00
Fat Joe,Don Cartagena,15,58:31:00
Fat Joe,The Elephant in the Room,12,42:55:00
Fat Joe,Family Ties,11,41:38:00
Fat Joe,Jealous One's Envy,15,48:02:00
Fat Joe,Jealous Ones Still Envy (J.O.S.E.),18,1:00:15
Fat Joe,Jealous Ones Still Envy (J.O.S.E.) 2,12,48:36:00
Fat Joe,Loyalty(Retail),14,1:00:01
Fat Joe,Plata O Plomo,12,46:08:00
Fat Joe,Represent,14,49:42:00
Fat Joe,Stressin - Single,1,3:53
Fatboy Slim,Eat Sleep Rave Repeat (Dimitri Vegas & Like Mi…,1,5:00
Fefe Dobson,Celebrate - Single,1,3:39
Artist,Album,# Items,Total Time
Fefe Dobson,In Better Hands - Single,1,3:15
Fergie,Double Dutchess (Deluxe Visual Experience),13,57:00:00
Fergie,The Dutchess,15,1:06:40
Fergie,The Dutchess (Deluxe) - EP,5,20:58
Fergie,L.A. Love (La La) - Single,1,3:13
Fergie,L.A.LOVE (la la) (Remix) (feat. YG) - Single,1,3:32
Fergie,M.I.L.F. $ - Single,1,2:42
Fetty Wap,Again - Single,1,5:12
Fetty Wap,Fetty Wap (Deluxe),20,1:17:07
Fetty Wap,Trap Queen (feat. Gradur) [Remix] - Single,1,3:16
Field Mob,Brotha 2 Brotha,14,48:37:00
Field Mob,From da Roota to da Toota,15,59:43:00
Field Mob,Light Poles and Pine Trees,15,58:25:00
Field Mob,613: Ashy to Classy,13,54:52:00
Fifth Harmony,Better Together - EP,6,21:30
Fifth Harmony,BO$$ - Single,1,2:51
FINNEAS,Blood Harmony (Deluxe),9,31:13:00
Finneas,Break My Heart Again - Single,1,3:58
Finneas,College - Single,1,3:46
Finneas,Heaven - Single,1,3:44
Finneas,Hollywood Forever - Single,1,4:12
Finneas,Hostage (Demo) - Single,1,3:49
Finneas,Landmine - Single,1,3:30
Finneas,Landmine (Aire Atlantica Remix) - Single,1,3:13
Finneas,Let's Fall in Love for the Night - Single,1,3:10
Finneas,Life Moves On - Single,1,4:09
Finneas,Luck Pusher - Single,1,2:43
Finneas,NEW GIRL - Single,1,2:58
FINNEAS,Till Forever Falls Apart - Single,1,3:43
FKA twigs,EP1,4,15:15
FKA twigs,EP2,4,15:00
FKA twigs,LP1,10,40:52:00
FKA twigs,M3LL155X - EP,5,18:44
Artist,Album,# Items,Total Time
Flipmode Squad,The Imperial,16,1:14:40
Flo Rida,Available (feat. Akon) - Single,1,4:25
Flo Rida,Elevator (feat. Timbaland) - Single,1,3:50
Flo Rida,GDFR (feat. Sage The Gemini & Lookas) - Single,1,3:10
Flo Rida,Hello Friday (feat. Jason Derulo) - Single,1,3:21
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Ver…",1,4:26
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Ver…",1,4:27
Flo Rida,In the Ayer (feat. Will.I.Am) - Single,1,3:41
Flo Rida,Low (feat. T-Pain) - Single,1,3:51
Flo Rida,Who's with Me - Single,1,3:31
Florence + The Machine,Delilah (Galantis Remix) - Single,2,9:50
Florence + The Machine,"How Big, How Blue, How Beautiful (Deluxe)",16,1:09:52
Florida Georgia Line,Dig Your Roots,15,50:19:00
Foo Fighters,Greatest Hits (Deluxe Edition),16,1:03:41
Foolio,Everyday Dreday,11,36:33:00
Foolio,Industry Invasion,16,49:28:00
Foolio,Love Me Like I'm Dead,16,44:58:00
Foolio,Never Wanted Fame,12,33:23:00
Foolio,Who Am I,12,38:02:00
Foolio,6toven,12,32:50:00
Fort Minor,The Rising Tied (Deluxe Edition),17,55:13:00
Fort Minor,We Major,20,1:02:42
Fort Minor,Welcome - Single,1,3:33
Foster The People,Supermodel,12,50:43:00
Foster the People,"In The Darkest Of Nights, Let The Birds Sing - EP",6,24:45:00
Foster the People,Lamb's Wool (with Poolside) - Single,2,9:31
Foster the People,Sacred Hearts Club,12,41:41:00
Foster the People,Style - Single,1,3:44
Foster the People,Torches,11,44:08:00
Foster the People,Worst Nites - Single,1,3:32
Fousheé,time machine,9,29:58:00
Foxes,All I Need (Deluxe),16,55:17:00
Foxes,Amazing - Single,1,3:47
Artist,Album,# Items,Total Time
Foxes,Devil Side - Single,1,3:59
Foxes,Friends In the Corner EP,8,28:55:00
Foxes,Glorious (Deluxe Edition),16,1:06:03
Foxes,Holding Onto Heaven,1,3:31
Foxes,Holding Onto Heaven (Remixes) - EP,5,22:10
Foxes,Unreleased,1,3:41
Foxes,Warrior - EP,5,19:36
Frank Ocean,Blonde,17,1:00:17
Fredo Bang,Most Hated,12,30:48:00
Freeway,Free Will,15,52:47:00
Freeway,Highway Robbery,15,56:17:00
Freeway,The Stimulus Package (Deluxe Edition),17,1:01:03
Freeway,Think Free,13,46:37:00
French Montana,"Bad B*tch (feat. Jeremih, Rick Ross & Fabolous)…",1,5:01
French Montana,Bad B*tch (feat. Jeremih) - Single,1,4:04
French Montana,CB5 (Deluxe),24,1:10:57
French Montana,Coke Boys (Deluxe Collectors Edition),68,4:02:39
French Montana,Don't Panic - Single,1,3:28
French Montana,Excuse My French (Deluxe),18,1:15:08
French Montana,Figure it Out (feat. Kanye West & Nas) - Single,1,4:00
French Montana,Freaks (feat. Nicki Minaj) - Single,1,3:03
French Montana,Jungle Rules,18,1:04:27
French Montana,Lose It (feat. Rick Ross & Lil Wayne) - Single,1,3:48
French Montana,Moses (feat. Chris Brown & Migos) - Single,1,4:33
French Montana,Off the Rip (feat. Chinx & N.O.R.E.) - Single,1,3:56
French Montana,R&B Chicks (feat. Fabolous & Wale) - Single,1,4:11
French Montana,Shot Caller (feat. Charlie Rock) - Single,1,2:59
French Montana,"Shot Caller (Remix) (feat. Diddy, Rick Ross & Ch…",1,3:33
French Montana,You Need Haters - Single,1,3:17
Fugees,The Score,17,1:17:49
Fun.,Sight Of The Sun - Single,1,3:30
Future,DS2 (Deluxe),18,1:00:52
Future,EVOL,11,39:31:00
Artist,Album,# Items,Total Time
Future,F*ck Up Some Commas - Single,1,3:58
Future,High Off Life,21,1:10:15
Future,Honest (Deluxe Edition),18,1:06:50
Future,March Madness - Single,1,4:05
Future,Monster,14,50:33:00
Future,"Move That Dope (feat. Pharrell, Pusha T & Casi…",1,5:43
Future,Pluto x Baby Pluto (Deluxe),24,1:22:50
Future,What A Time To Be Alive,1,3:09
G Herbo,Lord Knows - Single,2,6:47
G Herbo,PTSD,14,47:21:00
G Herbo,25,19,57:23:00
G-Eazy,The Beautiful & Damned (Deluxe Edition),22,1:22:00
G-Eazy,The Epidemic LP,18,1:01:44
G-Eazy,Everything's Strange Here,10,35:05:00
G-Eazy,Far Alone (feat. E-40 & Jay Ant) - Single,1,4:30
G-Eazy,Far Alone (feat. Jay Ant) - Single,1,3:20
G-Eazy,Forbes - Single,1,3:26
G-Eazy,Hot Box (feat. G-Eazy & Mila J) - Single,1,4:18
G-Eazy,"Me, Myself & I (feat. Bebe Rexha) - Single",1,4:12
G-Eazy,"Me, Myself & I (Marc Stout & Scott Svejda Remi…",1,4:36
G-Eazy,"Me, Myself & I (Viceroy Remix) - Single",1,4:23
G-EAZY,Must Be Nice,10,30:48:00
G-Eazy,Scary Nights,8,26:55:00
G-Eazy,Step Brothers,4,14:32
G-Eazy,These Things Happen,17,1:00:37
G-Eazy,When It's Dark Out,17,1:01:37
G-Unit,Back To The Street,10,37:59:00
G-Unit,Back To the Street 2,10,47:32:00
G-Unit,The Beast Is G Unit - EP,6,22:26
G-Unit,The Beauty of Independence - EP,6,21:32
G-Unit,Beg for Mercy,19,1:10:20
G-Unit,Come Up - Single,1,3:37
G-Unit,"No Mercy, No Fear [Mixtape]",19,50:41:00
Artist,Album,# Items,Total Time
G-Unit,T.O.S. (Terminate On Sight) [Bonus Track Version],17,1:02:31
G-Unit,Tha Realest Killaz,31,1:17:49
G-Unit,50 Cent Is The Future,16,49:35:00
Galantis,Galantis - EP,6,23:44
Galantis,You (Tiësto & Twoloud Radio Edit) - Single,1,3:35
The Game,Bigger Than Me - Single,1,5:24
The Game,Blood Moon: Year Of The Wolf (Deluxe Edition),18,1:13:56
The Game,Doctor's Advocate,16,1:13:25
The Game,The Documentary,18,1:10:07
The Game,The Documentary 2,19,1:14:30
The Game,The Documentary 2.5,18,1:17:49
The Game,"Don't Shoot (feat. Rick Ross, 2 Chainz, Diddy, F…",1,6:07
The Game,Jesus Piece (Deluxe),15,1:11:43
The Game,L.A.X. Deluxe,23,1:34:44
The Game,"Or Nah (feat. Too $hort, Problem, AV, Eric Bellin…",1,4:14
The Game,R.E.D.,21,1:12:41
The Game,Ryda (feat. DeJ Loaf) - Single,1,3:29
The Game,"T.H.O.T. (feat. Problem, Huddy & Bad Lucc) - Si…",1,3:56
The Game,The Soundtrack (feat. Meek Mill) - Single,1,5:23
The Game,100 (feat. Drake) - Single,1,5:43
The Game,1992,13,53:19:00
GASHI,GASHI,16,53:50:00
GASHI,"Safety 2020 (feat. DJ Snake, Afro B & Chris Bro…",1,4:00
GASHI,1984 (Deluxe),18,1:00:14
Ghostface Killah,36 Seasons,25,1:10:59
Ginuwine,The Senior,16,1:12:15
girl in red,chapter 1 - EP,5,13:29
girl in red,chapter 2 - EP,5,15:56
girl in red,if i could make it go quiet,11,33:16:00
Girl Talk,Tolerated (feat. Waka Flocka Flame) - Single,1,3:18
Gisele,Heart Of Glass (Radio Edit) - Single,1,3:04
Glass Animals,Dreamland (+ Bonus Levels),18,51:04:00
Glass Animals,How to Be a Human Being,11,43:14:00
Artist,Album,# Items,Total Time
Glass Animals,Lose Control - Single,1,3:30
Glass Animals,Your Love (Déjà Vu) - Single,1,3:54
Glasses Malone,GlassHouse 2: Life Ain't Nuthin But...,14,54:33:00
Glasses Malone,Thuggin' (feat. Kendrick Lamar) - Single,1,5:01
